Accuracy clean 
0.0000 @ 0.1 
0.0000 @ 0.2 
0.0392 @ 0.3 
0.2010 @ 0.4 
0.4778 @ 0.5 
0.8877 @ 0.6 
0.9843 @ 0.7 
0.9869 @ 0.8 
0.9948 @ 0.9 

Accuracy noisy (20 db) 
0.0000 @ 0.1 
0.0000 @ 0.2 
0.0000 @ 0.3 
0.0157 @ 0.4 
0.2010 @ 0.5 
0.8695 @ 0.6 
0.9452 @ 0.7 
0.9634 @ 0.8 
0.9634 @ 0.9 

Accuracy noisy (10 db) 
0.0000 @ 0.1 
0.0000 @ 0.2 
0.0000 @ 0.3 
0.0052 @ 0.4 
0.1410 @ 0.5 
0.7937 @ 0.6 
0.9008 @ 0.7 
0.9269 @ 0.8 
0.9217 @ 0.9 

Accuracy noisy (0 db) 
0.0000 @ 0.1 
0.0000 @ 0.2 
0.0000 @ 0.3 
0.0000 @ 0.4 
0.0757 @ 0.5 
0.6710 @ 0.6 
0.7389 @ 0.7 
0.7937 @ 0.8 
0.8277 @ 0.9 



False alarms per hour: libri_test_v1.0
0.0000 @ 0.1 
0.0000 @ 0.2 
0.0000 @ 0.3 
0.0000 @ 0.4 
0.0000 @ 0.5 
0.0000 @ 0.6 
0.0000 @ 0.7 
0.9338 @ 0.8 
2.1010 @ 0.9 


False alarms per hour: ambient_test_v1.0
0.0000 @ 0.1 
0.0000 @ 0.2 
0.0000 @ 0.3 
0.0000 @ 0.4 
0.0000 @ 0.5 
0.0000 @ 0.6 
0.0313 @ 0.7 
1.0029 @ 0.8 
4.1682 @ 0.9 
