Accuracy clean 
0.0000 @ 0.1 
0.0714 @ 0.2 
0.1071 @ 0.3 
0.4286 @ 0.4 
0.6429 @ 0.5 
0.8214 @ 0.6 
0.9643 @ 0.7 
1.0000 @ 0.8 
1.0000 @ 0.9 

Accuracy noisy (20 db) 
0.0000 @ 0.1 
0.0000 @ 0.2 
0.0357 @ 0.3 
0.2143 @ 0.4 
0.5357 @ 0.5 
0.6429 @ 0.6 
0.7143 @ 0.7 
0.6429 @ 0.8 
0.7143 @ 0.9 

Accuracy noisy (10 db) 
0.0000 @ 0.1 
0.0000 @ 0.2 
0.0000 @ 0.3 
0.1786 @ 0.4 
0.4643 @ 0.5 
0.3571 @ 0.6 
0.5714 @ 0.7 
0.5000 @ 0.8 
0.5000 @ 0.9 

Accuracy noisy (0 db) 
0.0000 @ 0.1 
0.0000 @ 0.2 
0.0000 @ 0.3 
0.1071 @ 0.4 
0.2857 @ 0.5 
0.3214 @ 0.6 
0.2857 @ 0.7 
0.3571 @ 0.8 
0.4286 @ 0.9 



False alarms per hour: libri_test_v1.0
0.0000 @ 0.1 
0.0000 @ 0.2 
0.0000 @ 0.3 
0.0000 @ 0.4 
0.0000 @ 0.5 
0.0000 @ 0.6 
0.1167 @ 0.7 
0.1167 @ 0.8 
0.7003 @ 0.9 


False alarms per hour: ambient_test_v1.0
0.0000 @ 0.1 
0.0000 @ 0.2 
0.0000 @ 0.3 
0.0000 @ 0.4 
0.0940 @ 0.5 
0.1880 @ 0.6 
0.2821 @ 0.7 
0.5328 @ 0.8 
1.3476 @ 0.9 
