Accuracy clean 
0.0000 @ 0.1 
0.0714 @ 0.2 
0.2500 @ 0.3 
0.4643 @ 0.4 
0.6786 @ 0.5 
0.7500 @ 0.6 
0.8571 @ 0.7 
0.8571 @ 0.8 
0.8571 @ 0.9 

Accuracy noisy (20 db) 
0.0000 @ 0.1 
0.0000 @ 0.2 
0.2143 @ 0.3 
0.4286 @ 0.4 
0.5357 @ 0.5 
0.6429 @ 0.6 
0.7500 @ 0.7 
0.6786 @ 0.8 
0.6786 @ 0.9 

Accuracy noisy (10 db) 
0.0000 @ 0.1 
0.0714 @ 0.2 
0.2143 @ 0.3 
0.3929 @ 0.4 
0.4643 @ 0.5 
0.5357 @ 0.6 
0.4286 @ 0.7 
0.5714 @ 0.8 
0.5714 @ 0.9 

Accuracy noisy (0 db) 
0.0000 @ 0.1 
0.0000 @ 0.2 
0.2500 @ 0.3 
0.1786 @ 0.4 
0.2143 @ 0.5 
0.3571 @ 0.6 
0.3214 @ 0.7 
0.2500 @ 0.8 
0.3929 @ 0.9 



False alarms per hour: libri_test_v1.0
0.0000 @ 0.1 
0.0000 @ 0.2 
0.0000 @ 0.3 
0.0000 @ 0.4 
0.0000 @ 0.5 
0.1167 @ 0.6 
0.2334 @ 0.7 
0.4669 @ 0.8 
1.1672 @ 0.9 
