Accuracy clean 
0.2143 @ 0.1 
0.7500 @ 0.2 
0.9643 @ 0.3 
1.0000 @ 0.4 
1.0000 @ 0.5 
1.0000 @ 0.6 
1.0000 @ 0.7 
1.0000 @ 0.8 
1.0000 @ 0.9 

Accuracy noisy (20 db) 
0.5000 @ 0.1 
0.5714 @ 0.2 
0.6429 @ 0.3 
0.7143 @ 0.4 
0.6786 @ 0.5 
0.7143 @ 0.6 
0.7500 @ 0.7 
0.7500 @ 0.8 
0.7143 @ 0.9 

Accuracy noisy (10 db) 
0.3214 @ 0.1 
0.5714 @ 0.2 
0.5714 @ 0.3 
0.5714 @ 0.4 
0.5714 @ 0.5 
0.6071 @ 0.6 
0.6071 @ 0.7 
0.6071 @ 0.8 
0.5714 @ 0.9 

Accuracy noisy (0 db) 
0.2143 @ 0.1 
0.3571 @ 0.2 
0.3571 @ 0.3 
0.3929 @ 0.4 
0.4286 @ 0.5 
0.3929 @ 0.6 
0.4286 @ 0.7 
0.2500 @ 0.8 
0.3571 @ 0.9 



False alarms per hour: libri_test_v1.0
0.2334 @ 0.1 
0.3502 @ 0.2 
0.5836 @ 0.3 
0.7003 @ 0.4 
1.1672 @ 0.5 
1.7508 @ 0.6 
2.2177 @ 0.7 
3.5017 @ 0.8 
4.7856 @ 0.9 


False alarms per hour: ambient_test_v1.0
0.1567 @ 0.1 
0.2507 @ 0.2 
0.3761 @ 0.3 
0.3761 @ 0.4 
0.5328 @ 0.5 
0.8462 @ 0.6 
1.5043 @ 0.7 
2.5385 @ 0.8 
4.9830 @ 0.9 
