Accuracy clean 
0.0000 @ 0.1 
0.0290 @ 0.2 
0.1063 @ 0.3 
0.0000 @ 0.4 
0.0000 @ 0.5 
0.0000 @ 0.6 
0.0000 @ 0.7 
0.0000 @ 0.8 
0.0000 @ 0.9 

Accuracy noisy (20 db) 
0.0072 @ 0.1 
0.0266 @ 0.2 
0.1981 @ 0.3 
0.7319 @ 0.4 
0.8623 @ 0.5 
0.8889 @ 0.6 
0.8961 @ 0.7 
0.9106 @ 0.8 
0.9396 @ 0.9 

Accuracy noisy (10 db) 
0.0048 @ 0.1 
0.0217 @ 0.2 
0.1836 @ 0.3 
0.6860 @ 0.4 
0.8164 @ 0.5 
0.8575 @ 0.6 
0.8744 @ 0.7 
0.8841 @ 0.8 
0.8961 @ 0.9 

Accuracy noisy (0 db) 
0.0097 @ 0.1 
0.0290 @ 0.2 
0.2198 @ 0.3 
0.6014 @ 0.4 
0.7005 @ 0.5 
0.7585 @ 0.6 
0.7923 @ 0.7 
0.8164 @ 0.8 
0.8237 @ 0.9 



False alarms per hour: libri_test_v1.0
0.0000 @ 0.1 
0.0000 @ 0.2 
0.0000 @ 0.3 
0.0000 @ 0.4 
0.0000 @ 0.5 
0.1167 @ 0.6 
0.1167 @ 0.7 
0.2334 @ 0.8 
0.4669 @ 0.9 


False alarms per hour: ambient_test_v1.0
0.0000 @ 0.1 
0.0000 @ 0.2 
0.0000 @ 0.3 
0.0313 @ 0.4 
0.1567 @ 0.5 
0.4074 @ 0.6 
0.5955 @ 0.7 
1.2536 @ 0.8 
2.0057 @ 0.9 
