Accuracy clean 
0.4400 @ 0.1 
0.8659 @ 0.2 
0.8753 @ 0.3 
0.8894 @ 0.4 
0.9012 @ 0.5 
0.9129 @ 0.6 
0.9153 @ 0.7 
0.9176 @ 0.8 
0.9200 @ 0.9 

Accuracy noisy (20 db) 
0.3812 @ 0.1 
0.8612 @ 0.2 
0.8847 @ 0.3 
0.8965 @ 0.4 
0.8941 @ 0.5 
0.9082 @ 0.6 
0.8965 @ 0.7 
0.9082 @ 0.8 
0.9176 @ 0.9 

Accuracy noisy (10 db) 
0.4376 @ 0.1 
0.8259 @ 0.2 
0.8518 @ 0.3 
0.8635 @ 0.4 
0.8753 @ 0.5 
0.8659 @ 0.6 
0.8871 @ 0.7 
0.0000 @ 0.8 
0.0000 @ 0.9 

Accuracy noisy (0 db) 
0.4024 @ 0.1 
0.0000 @ 0.2 
0.0000 @ 0.3 
0.0000 @ 0.4 
0.0000 @ 0.5 
0.0000 @ 0.6 
0.8024 @ 0.7 
0.8235 @ 0.8 
0.8518 @ 0.9 



False alarms per hour: libri_test_v1.0
0.0000 @ 0.1 
0.0000 @ 0.2 
0.0000 @ 0.3 
0.1167 @ 0.4 
0.1167 @ 0.5 
0.2334 @ 0.6 
0.4669 @ 0.7 
0.7003 @ 0.8 
1.6341 @ 0.9 


False alarms per hour: ambient_test_v1.0
0.0313 @ 0.1 
0.0940 @ 0.2 
0.1567 @ 0.3 
0.1880 @ 0.4 
0.2194 @ 0.5 
0.2507 @ 0.6 
0.3447 @ 0.7 
0.5328 @ 0.8 
1.3163 @ 0.9 
